oid,dataset_id,provider_name,Species,common_name,lat,lon,date,year,date_string
10953947,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.100,43.20,3/29/2011,2011,20110329
10953952,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.599,43.70,8/4/2011,2011,20110804
10953953,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.599,43.70,8/4/2011,2011,20110804
10953956,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.900,43.89,4/2/2011,2011,20110402
10953957,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.800,44,8/4/2011,2011,20110804
10953959,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.100,44.89,11/9/2011,2011,20111109
10953960,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.100,44.89,11/9/2011,2011,20111109
10953961,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.100,44.89,11/9/2011,2011,20111109
10953962,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.200,44.89,11/9/2011,2011,20111109
10953963,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.299,44.89,11/10/2011,2011,20111110
10953967,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.800,44.20,11/25/2011,2011,20111125
10953968,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.900,44.20,11/25/2011,2011,20111125
10953970,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1,44,4/2/2011,2011,20110402
10953971,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1,44.10,8/4/2011,2011,20110804
10953973,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.599,44.79,11/26/2011,2011,20111126
10953976,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.699,44.60,11/26/2011,2011,20111126
10953977,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.599,44.79,11/26/2011,2011,20111126
10953984,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.100,44.29,11/25/2011,2011,20111125
10953989,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.3,44.5,11/24/2011,2011,20111124
10953990,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.399,44.5,11/24/2011,2011,20111124
10953992,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.5,44.79,11/24/2011,2011,20111124
10953997,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.200,45.39,11/27/2011,2011,20111127
10953998,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.299,45.20,11/27/2011,2011,20111127
10953999,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.400,45.10,11/27/2011,2011,20111127
10954001,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.100,45.70,11/27/2011,2011,20111127
10954002,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0,45.70,11/27/2011,2011,20111127
10954004,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.100,45.60,11/27/2011,2011,20111127
10954007,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.900,45.20,11/11/2011,2011,20111111
10954008,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.900,45.29,11/10/2011,2011,20111110
10954010,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1,45.20,11/11/2011,2011,20111111
10954012,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.400,49.60,1/22/2011,2011,20110122
10954013,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.299,49.70,1/21/2011,2011,20110121
10954018,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.399,45.5,11/11/2011,2011,20111111
10954019,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.600,45,11/23/2011,2011,20111123
10954020,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.7,45.10,11/23/2011,2011,20111123
10954023,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.8,45.29,11/23/2011,2011,20111123
10954024,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2,45.39,8/6/2011,2011,20110806
10954026,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.600,45.79,11/12/2011,2011,20111112
10954028,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.7,45.89,11/12/2011,2011,20111112
10954029,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.7,46,11/12/2011,2011,20111112
10954030,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.899,45.70,11/22/2011,2011,20111122
10954031,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.8,46.10,11/12/2011,2011,20111112
10954034,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.899,47.79,11/14/2011,2011,20111114
10954036,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2,47.60,11/14/2011,2011,20111114
10954042,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2,48.5,4/4/2011,2011,20110404
10954043,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.7,49,4/2/2011,2011,20110402
10954047,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.5,49.29,4/1/2011,2011,20110401
10954048,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.100,49.79,3/31/2011,2011,20110331
10954049,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.5,49.20,4/2/2011,2011,20110402
10954051,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.899,49.89,12/8/2011,2011,20111208
10954052,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.899,49.89,12/8/2011,2011,20111208
10954054,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.299,45.89,8/6/2011,2011,20110806
10954055,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.100,46,11/22/2011,2011,20111122
10954057,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.299,46.29,11/22/2011,2011,20111122
10954058,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.299,46.39,11/22/2011,2011,20111122
10954060,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.399,46.20,8/6/2011,2011,20110806
10954061,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2,46.60,11/13/2011,2011,20111113
10954063,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.299,47,11/19/2011,2011,20111119
10954065,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.5,46.60,11/21/2011,2011,20111121
10954066,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.5,46.29,8/6/2011,2011,20110806
10954069,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.700,46.39,8/7/2011,2011,20110807
10954070,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.600,46.60,11/20/2011,2011,20111120
10954071,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.799,46.60,8/7/2011,2011,20110807
10954073,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.100,47.20,11/13/2011,2011,20111113
10954074,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.100,47.10,11/13/2011,2011,20111113
10954075,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.200,47.29,11/18/2011,2011,20111118
10954082,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.200,47.20,11/18/2011,2011,20111118
10954092,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.399,47.89,4/5/2011,2011,20110405
10954093,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.799,47.39,4/6/2011,2011,20110406
