oid,dataset_id,provider_name,species,common_name,lat,lon,date,date_string,year
10954180,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6,49,1/1/2012,20120101,2012
10954181,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.099,49,1/1/2012,20120101,2012
10954182,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.099,49,1/1/2012,20120101,2012
10954183,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.299,49.10,1/2/2012,20120102,2012
10954184,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.299,49.10,1/2/2012,20120102,2012
10954185,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.299,49.10,1/3/2012,20120103,2012
10954186,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.299,49.20,1/3/2012,20120103,2012
10954187,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.400,49.10,1/3/2012,20120103,2012
10954188,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.5,49.39,1/4/2012,20120104,2012
10954189,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.799,49.29,1/4/2012,20120104,2012
10954190,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.799,49.5,1/4/2012,20120104,2012
10954191,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.799,49.29,1/5/2012,20120105,2012
10954192,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,7,49.39,1/6/2012,20120106,2012
10954193,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,7.099,49.5,1/7/2012,20120107,2012
10954194,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,7.5,49.79,1/9/2012,20120109,2012
10954195,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,7.599,49.79,1/9/2012,20120109,2012
10954196,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,7.599,49.79,1/9/2012,20120109,2012
10954197,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,7.599,49.79,1/10/2012,20120110,2012
10954199,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,7.700,49.89,1/10/2012,20120110,2012
10954200,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,7.700,49.89,1/11/2012,20120111,2012
10954202,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,7.700,49.89,1/10/2012,20120110,2012
10954204,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,7.700,50,1/11/2012,20120111,2012
10954551,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,7.900,50,1/12/2012,20120112,2012
10954552,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,7.900,50.10,1/12/2012,20120112,2012
10954554,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,7.900,50,1/12/2012,20120112,2012
10954560,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,8,50,1/13/2012,20120113,2012
10954561,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,8.099,50,1/13/2012,20120113,2012
10954562,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,8.199,50.10,1/13/2012,20120113,2012
10954563,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,8.300,50.20,1/14/2012,20120114,2012
10954566,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,8.400,50.29,1/14/2012,20120114,2012
10954569,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,8.400,50.39,1/14/2012,20120114,2012
10954570,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,8.400,50.39,1/15/2012,20120115,2012
10954572,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,8.5,50.29,1/16/2012,20120116,2012
10954573,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,8.5,50.39,1/17/2012,20120117,2012
10954574,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,8.599,50.39,1/17/2012,20120117,2012
10954575,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,8.699,50.5,1/17/2012,20120117,2012
10954576,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,8.800,50.5,1/18/2012,20120118,2012
10954580,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,8.900,50.5,1/18/2012,20120118,2012
10954584,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,8.900,50.5,1/18/2012,20120118,2012
10954588,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,8.900,50.5,1/19/2012,20120119,2012
10954593,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9,50.60,1/20/2012,20120120,2012
10954595,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.099,50.70,1/25/2012,20120125,2012
10954604,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.199,50.70,1/26/2012,20120126,2012
10954616,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.199,50.79,1/30/2012,20120130,2012
10954619,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.199,50.79,1/25/2012,20120125,2012
10954654,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.199,50.70,1/27/2012,20120127,2012
10954717,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.300,50.79,1/26/2012,20120126,2012
10954727,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.300,50.89,1/29/2012,20120129,2012
10954728,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.300,50.79,2/18/2012,20120218,2012
10954730,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.300,50.89,3/30/2012,20120330,2012
10954858,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,8.699,58.29,1/1/2012,20120101,2012
10954859,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,8.599,58.39,1/1/2012,20120101,2012
10954860,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,8.800,58.29,1/1/2012,20120101,2012
10954861,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,8.900,58.10,1/2/2012,20120102,2012
10954863,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,8.900,58.20,1/1/2012,20120101,2012
10954864,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,8.900,58.20,1/1/2012,20120101,2012
10954866,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9,58,1/2/2012,20120102,2012
10954908,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.900,57,1/8/2012,20120108,2012
10954909,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,10,56.79,1/8/2012,20120108,2012
10954911,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,10,56.89,1/8/2012,20120108,2012
10954912,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.900,56.89,1/8/2012,20120108,2012
10954913,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.300,57.39,1/5/2012,20120105,2012
10954915,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.300,57.5,1/4/2012,20120104,2012
10954917,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.400,57.29,1/5/2012,20120105,2012
10954919,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.400,57.39,1/5/2012,20120105,2012
10954920,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.300,57.5,1/4/2012,20120104,2012
10954921,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.5,57.29,1/6/2012,20120106,2012
10954923,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.099,57.89,1/2/2012,20120102,2012
10954924,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.099,57.89,1/2/2012,20120102,2012
10954925,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.199,57.5,1/4/2012,20120104,2012
10954926,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.099,57.60,1/4/2012,20120104,2012
10954927,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.199,57.79,1/3/2012,20120103,2012
10954929,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.300,57.5,1/4/2012,20120104,2012
10954930,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.300,57.70,1/4/2012,20120104,2012
10954931,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.199,57.79,1/3/2012,20120103,2012
10954933,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.599,57.20,1/7/2012,20120107,2012
10954934,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.5,57.20,1/6/2012,20120106,2012
10954935,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.599,57.20,1/7/2012,20120107,2012
10954936,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,9.800,57.10,1/7/2012,20120107,2012
10955200,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,13.9,54.29,3/17/2012,20120317,2012
10955305,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,14.5,53.10,3/25/2012,20120325,2012
10955309,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,14.5,53.20,3/29/2012,20120329,2012
10955312,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,14.6,53.10,3/29/2012,20120329,2012
10955324,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,14.1,54.20,3/18/2012,20120318,2012
10955325,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,14.1,54.20,3/17/2012,20120317,2012
10955326,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,14.19,54.20,3/18/2012,20120318,2012
10955327,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,14.1,54.20,3/18/2012,20120318,2012
10955328,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,14.19,54.10,3/19/2012,20120319,2012
10955350,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,10.80,55.89,1/13/2012,20120113,2012
10955351,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,10.80,56,1/13/2012,20120113,2012
10955352,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,10.9,55.79,1/14/2012,20120114,2012
10955354,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,10.9,55.89,1/13/2012,20120113,2012
10955355,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,10.80,55.89,1/13/2012,20120113,2012
10955357,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,11,55.70,1/15/2012,20120115,2012
10955359,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,11,55.79,1/14/2012,20120114,2012
10955360,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,10.9,55.79,1/14/2012,20120114,2012
10955362,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,10.30,56.5,1/10/2012,20120110,2012
10955363,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,10.4,56.39,1/11/2012,20120111,2012
10955364,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,10.30,56.39,1/11/2012,20120111,2012
10955365,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,10.5,56.29,1/11/2012,20120111,2012
10955366,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,10.4,56.29,1/11/2012,20120111,2012
10955367,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,10.1,56.79,1/9/2012,20120109,2012
10955369,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,10.1,56.79,1/8/2012,20120108,2012
10955370,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,10.19,56.60,1/10/2012,20120110,2012
10955371,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,10.19,56.70,1/10/2012,20120110,2012
